Loss;Optimizer;Epochs;Batch Size;MSE;MAE;RMSE;R2_Score
mae;rmsprop;10;70;0.1003296356506479;0.25740185199140697;0.31674853693529176;-1.0895320707828682
mae;rmsprop;10;90;0.11846811855385128;0.2820981793825319;0.3441919792119672;-1.4672962428123864
mae;rmsprop;30;10;0.09215841560979961;0.24898715414968486;0.3035760458432114;-0.9193527790706097
mae;rmsprop;30;30;0.14307797021001287;0.3205948048546201;0.37825648733367795;-1.9798374671403196
mae;rmsprop;30;50;0.09880413373275623;0.258099712190174;0.3143312484191736;-1.0577609479156957
mae;rmsprop;30;70;0.06023721200217624;0.2016246912430744;0.24543270361175634;-0.25454045075345744
mae;rmsprop;30;90;0.14361379097951937;0.31763005963799096;0.37896410249457585;-1.9909968287268995
mae;rmsprop;50;10;0.10842396898335085;0.26843493961152587;0.32927795095230844;-1.2581100685061202
mae;rmsprop;50;30;0.09361456289906102;0.24486407935213886;0.3059649700522284;-0.94967947607258
mae;rmsprop;50;50;0.09815780223482111;0.24992325231331552;0.31330145584535846;-1.0443000160132296
mae;rmsprop;50;70;0.1046885341237946;0.2522502975723371;0.32355607570217965;-1.180313404671503
mae;rmsprop;50;90;0.09637700867945351;0.24755117014151862;0.31044646668862813;-1.0072120188202485
mae;rmsprop;70;10;0.12057321074097146;0.2831527066392964;0.3472365342831475;-1.5111383001309076
mae;rmsprop;70;30;0.13398270886256625;0.2996122292758657;0.3660364856985793;-1.790413473378225
mae;rmsprop;70;50;0.10940730629602367;0.25983461652483264;0.3307677528055353;-1.2785897088227847
mae;rmsprop;70;70;0.11166282077730566;0.2654110725558535;0.3341598730806942;-1.325564561409359
mae;rmsprop;70;90;0.12257649898946739;0.2815487973219684;0.3501092672144903;-1.5528601205592234
mae;rmsprop;90;10;0.07599234980102781;0.21826324579667078;0.275667099598461;-0.5826674841749244
mae;rmsprop;90;30;0.09336354847142984;0.24220006345891631;0.3055544934564534;-0.9444516817786699
mae;rmsprop;90;50;0.14273594981902776;0.30726544360725255;0.37780411567243116;-1.97271432180853
mae;rmsprop;90;70;0.1496276289276517;0.3157676260811943;0.3868173069132917;-2.1162450385865386
mae;rmsprop;90;90;0.10508233076257571;0.26039924271252696;0.32416404915193126;-1.1885148767566283
mae;adagrad;10;10;130.2931255444124;11.408418905943835;11.414601418552135;-2712.5717444004304
mae;adagrad;10;30;125.86725920408975;11.207817068884568;11.219057857239607;-2620.39569293639
mae;adagrad;10;50;122.92246153919946;11.071182130972545;11.087040251536902;-2559.0653679247393
mae;adagrad;10;70;120.5016075522694;10.956899240933309;10.977322421805301;-2508.6470442502996
mae;adagrad;10;90;118.6862984928528;10.869977806413255;10.894324141168777;-2470.840204093503
mae;adagrad;30;10;61.35478176561882;7.213874244888624;7.832929322138609;-1276.815705835433
mae;adagrad;30;30;46.67080018657107;5.5316720504420145;6.831603046618786;-970.9972880047987
mae;adagrad;30;50;41.456108640363844;5.096482407600701;6.438641831967659;-862.3926354076183
mae;adagrad;30;70;38.466430092716514;4.903026787204808;6.202131092835471;-800.1275911250588
mae;adagrad;30;90;36.50195873226152;4.769376277591095;6.04168509045792;-759.2141971594081
mae;adagrad;50;10;14.219357473684331;2.735004851899179;3.7708563316154504;-295.14184557240145
mae;adagrad;50;30;9.842085163900649;1.987541212970708;3.1372097736524807;-203.97784587752426
mae;adagrad;50;50;8.404397109359607;1.7702324764096007;2.899033823424557;-174.0355932393773
mae;adagrad;50;70;7.760322107646986;1.6941036200361188;2.785735469790157;-160.62165663589715
mae;adagrad;50;90;7.386959654295762;1.6521999018532887;2.7178961816625304;-152.84576055849004
mae;adagrad;70;10;4.5521834132689145;1.281845737833555;2.1335846393496825;-93.80681527870968
mae;adagrad;70;30;3.95434238209185;1.1826021587929756;1.988552836132812;-81.35577825686528
mae;adagrad;70;50;3.637986036047009;1.1295229900775312;1.9073505278388159;-74.7671294835543
