neighbors;weights;algorithm;distance;accuracy;f1_score;True Positive;False Positive;False Negative;True Negative
4;distance;brute;manhattan;0.6020408163265306;0.6863270777479893;49;46;71;128
4;distance;brute;chebyshev;0.5748299319727891;0.6575342465753424;49;54;71;120
4;distance;brute;minkowski;0.5850340136054422;0.6737967914438503;46;48;74;126
5;uniform;auto;euclidean;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;auto;manhattan;0.5544217687074829;0.6597402597402598;36;47;84;127
5;uniform;auto;chebyshev;0.5544217687074829;0.6449864498644986;44;55;76;119
5;uniform;auto;minkowski;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;ball_tree;euclidean;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;ball_tree;manhattan;0.5544217687074829;0.6597402597402598;36;47;84;127
5;uniform;ball_tree;chebyshev;0.5544217687074829;0.6449864498644986;44;55;76;119
5;uniform;ball_tree;minkowski;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;kd_tree;euclidean;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;kd_tree;manhattan;0.5544217687074829;0.6597402597402598;36;47;84;127
5;uniform;kd_tree;chebyshev;0.5544217687074829;0.6449864498644986;44;55;76;119
5;uniform;kd_tree;minkowski;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;brute;euclidean;0.5510204081632653;0.6526315789473683;38;50;82;124
5;uniform;brute;manhattan;0.5544217687074829;0.6597402597402598;36;47;84;127
5;uniform;brute;chebyshev;0.5544217687074829;0.6449864498644986;44;55;76;119
5;uniform;brute;minkowski;0.5510204081632653;0.6526315789473683;38;50;82;124
5;distance;auto;euclidean;0.5578231292517006;0.6542553191489361;41;51;79;123
5;distance;auto;manhattan;0.564625850340136;0.6649214659685865;39;47;81;127
5;distance;auto;chebyshev;0.5680272108843537;0.6481994459833794;50;57;70;117
5;distance;auto;minkowski;0.5578231292517006;0.6542553191489361;41;51;79;123
5;distance;ball_tree;euclidean;0.5578231292517006;0.6542553191489361;41;51;79;123
5;distance;ball_tree;manhattan;0.564625850340136;0.6649214659685865;39;47;81;127
5;distance;ball_tree;chebyshev;0.5680272108843537;0.6481994459833794;50;57;70;117
5;distance;ball_tree;minkowski;0.5578231292517006;0.6542553191489361;41;51;79;123
5;distance;kd_tree;euclidean;0.5578231292517006;0.6542553191489361;41;51;79;123
5;distance;kd_tree;manhattan;0.564625850340136;0.6649214659685865;39;47;81;127
5;distance;kd_tree;chebyshev;0.5680272108843537;0.6481994459833794;50;57;70;117
5;distance;kd_tree;minkowski;0.5578231292517006;0.6542553191489361;41;51;79;123
5;distance;brute;euclidean;0.5578231292517006;0.6542553191489361;41;51;79;123
5;distance;brute;manhattan;0.564625850340136;0.6649214659685865;39;47;81;127
5;distance;brute;chebyshev;0.5680272108843537;0.6481994459833794;50;57;70;117
5;distance;brute;minkowski;0.5578231292517006;0.6542553191489361;41;51;79;123
6;uniform;auto;euclidean;0.5306122448979592;0.5868263473053892;58;76;62;98
6;uniform;auto;manhattan;0.4931972789115646;0.5552238805970149;52;81;68;93
6;uniform;auto;chebyshev;0.5340136054421769;0.5758513931888545;64;81;56;93
6;uniform;auto;minkowski;0.5306122448979592;0.5868263473053892;58;76;62;98
6;uniform;ball_tree;euclidean;0.5306122448979592;0.5868263473053892;58;76;62;98
6;uniform;ball_tree;manhattan;0.4931972789115646;0.5552238805970149;52;81;68;93
6;uniform;ball_tree;chebyshev;0.5306122448979592;0.5714285714285715;64;82;56;92
6;uniform;ball_tree;minkowski;0.5306122448979592;0.5868263473053892;58;76;62;98
6;uniform;kd_tree;euclidean;0.5306122448979592;0.5868263473053892;58;76;62;98
6;uniform;kd_tree;manhattan;0.4931972789115646;0.5552238805970149;52;81;68;93
6;uniform;kd_tree;chebyshev;0.5340136054421769;0.5758513931888545;64;81;56;93
6;uniform;kd_tree;minkowski;0.5306122448979592;0.5868263473053892;58;76;62;98
6;uniform;brute;euclidean;0.5306122448979592;0.5868263473053892;58;76;62;98
6;uniform;brute;manhattan;0.4931972789115646;0.5552238805970149;52;81;68;93
6;uniform;brute;chebyshev;0.5306122448979592;0.5714285714285715;64;82;56;92
6;uniform;brute;minkowski;0.5306122448979592;0.5868263473053892;58;76;62;98
6;distance;auto;euclidean;0.5850340136054422;0.6772486772486773;44;46;76;128
6;distance;auto;manhattan;0.5714285714285714;0.6752577319587629;37;43;83;131
6;distance;auto;chebyshev;0.5850340136054422;0.6702702702702703;48;50;72;124
6;distance;auto;minkowski;0.5850340136054422;0.6772486772486773;44;46;76;128
6;distance;ball_tree;euclidean;0.5850340136054422;0.6772486772486773;44;46;76;128
6;distance;ball_tree;manhattan;0.5714285714285714;0.6752577319587629;37;43;83;131
6;distance;ball_tree;chebyshev;0.5850340136054422;0.6702702702702703;48;50;72;124
6;distance;ball_tree;minkowski;0.5850340136054422;0.6772486772486773;44;46;76;128
6;distance;kd_tree;euclidean;0.5850340136054422;0.6772486772486773;44;46;76;128
6;distance;kd_tree;manhattan;0.5714285714285714;0.6752577319587629;37;43;83;131
6;distance;kd_tree;chebyshev;0.5850340136054422;0.6702702702702703;48;50;72;124
6;distance;kd_tree;minkowski;0.5850340136054422;0.6772486772486773;44;46;76;128
6;distance;brute;euclidean;0.5850340136054422;0.6772486772486773;44;46;76;128
6;distance;brute;manhattan;0.5714285714285714;0.6752577319587629;37;43;83;131
6;distance;brute;chebyshev;0.5850340136054422;0.6702702702702703;48;50;72;124
6;distance;brute;minkowski;0.5850340136054422;0.6772486772486773;44;46;76;128
7;uniform;auto;euclidean;0.5612244897959183;0.6559999999999999;42;51;78;123
7;uniform;auto;manhattan;0.5340136054421769;0.6422976501305483;34;51;86;123
7;uniform;auto;chebyshev;0.5680272108843537;0.6613333333333333;43;50;77;124
7;uniform;auto;minkowski;0.5612244897959183;0.6559999999999999;42;51;78;123
7;uniform;ball_tree;euclidean;0.5612244897959183;0.6559999999999999;42;51;78;123
7;uniform;ball_tree;manhattan;0.5340136054421769;0.6422976501305483;34;51;86;123
7;uniform;ball_tree;chebyshev;0.5714285714285714;0.6666666666666667;42;48;78;126
7;uniform;ball_tree;minkowski;0.5612244897959183;0.6559999999999999;42;51;78;123
7;uniform;kd_tree;euclidean;0.5612244897959183;0.6559999999999999;42;51;78;123
7;uniform;kd_tree;manhattan;0.5340136054421769;0.6422976501305483;34;51;86;123
7;uniform;kd_tree;chebyshev;0.5680272108843537;0.6613333333333333;43;50;77;124
7;uniform;kd_tree;minkowski;0.5612244897959183;0.6559999999999999;42;51;78;123
7;uniform;brute;euclidean;0.5612244897959183;0.6559999999999999;42;51;78;123
7;uniform;brute;manhattan;0.5340136054421769;0.6422976501305483;34;51;86;123
7;uniform;brute;chebyshev;0.5748299319727891;0.6684350132625995;43;48;77;126
7;uniform;brute;minkowski;0.5612244897959183;0.6559999999999999;42;51;78;123
7;distance;auto;euclidean;0.5748299319727891;0.6612466124661246;47;52;73;122
7;distance;auto;manhattan;0.5476190476190477;0.6453333333333334;40;53;80;121
7;distance;auto;chebyshev;0.5714285714285714;0.6538461538461539;49;55;71;119
7;distance;auto;minkowski;0.5748299319727891;0.6612466124661246;47;52;73;122
7;distance;ball_tree;euclidean;0.5748299319727891;0.6612466124661246;47;52;73;122
7;distance;ball_tree;manhattan;0.5476190476190477;0.6453333333333334;40;53;80;121
7;distance;ball_tree;chebyshev;0.5782312925170068;0.6612021857923497;49;53;71;121
7;distance;ball_tree;minkowski;0.5748299319727891;0.6612466124661246;47;52;73;122
7;distance;kd_tree;euclidean;0.5748299319727891;0.6612466124661246;47;52;73;122
7;distance;kd_tree;manhattan;0.5476190476190477;0.6453333333333334;40;53;80;121
7;distance;kd_tree;chebyshev;0.5714285714285714;0.6538461538461539;49;55;71;119
7;distance;kd_tree;minkowski;0.5748299319727891;0.6612466124661246;47;52;73;122
7;distance;brute;euclidean;0.5748299319727891;0.6612466124661246;47;52;73;122
7;distance;brute;manhattan;0.5476190476190477;0.6453333333333334;40;53;80;121
7;distance;brute;chebyshev;0.5782312925170068;0.6612021857923497;49;53;71;121
7;distance;brute;minkowski;0.5748299319727891;0.6612466124661246;47;52;73;122
8;uniform;auto;euclidean;0.5306122448979592;0.5917159763313609;56;74;64;100
8;uniform;auto;manhattan;0.5340136054421769;0.6096866096866096;50;67;70;107
8;uniform;auto;chebyshev;0.5680272108843537;0.6253687315634219;61;68;59;106
8;uniform;auto;minkowski;0.5306122448979592;0.5917159763313609;56;74;64;100
8;uniform;ball_tree;euclidean;0.5306122448979592;0.5917159763313609;56;74;64;100
8;uniform;ball_tree;manhattan;0.5340136054421769;0.6096866096866096;50;67;70;107
8;uniform;ball_tree;chebyshev;0.5680272108843537;0.6253687315634219;61;68;59;106
8;uniform;ball_tree;minkowski;0.5306122448979592;0.5917159763313609;56;74;64;100
8;uniform;kd_tree;euclidean;0.5306122448979592;0.5917159763313609;56;74;64;100
8;uniform;kd_tree;manhattan;0.5340136054421769;0.6096866096866096;50;67;70;107
8;uniform;kd_tree;chebyshev;0.5680272108843537;0.6253687315634219;61;68;59;106
8;uniform;kd_tree;minkowski;0.5306122448979592;0.5917159763313609;56;74;64;100
8;uniform;brute;euclidean;0.5306122448979592;0.5917159763313609;56;74;64;100
8;uniform;brute;manhattan;0.5340136054421769;0.6096866096866096;50;67;70;107
8;uniform;brute;chebyshev;0.5680272108843537;0.6253687315634219;61;68;59;106
8;uniform;brute;minkowski;0.5306122448979592;0.5917159763313609;56;74;64;100
8;distance;auto;euclidean;0.5884353741496599;0.6807387862796834;44;45;76;129
8;distance;auto;manhattan;0.5782312925170068;0.6820512820512821;37;41;83;133
8;distance;auto;chebyshev;0.6020408163265306;0.689655172413793;47;44;73;130
8;distance;auto;minkowski;0.5884353741496599;0.6807387862796834;44;45;76;129
8;distance;ball_tree;euclidean;0.5884353741496599;0.6807387862796834;44;45;76;129
8;distance;ball_tree;manhattan;0.5782312925170068;0.6820512820512821;37;41;83;133
8;distance;ball_tree;chebyshev;0.6020408163265306;0.689655172413793;47;44;73;130
8;distance;ball_tree;minkowski;0.5884353741496599;0.6807387862796834;44;45;76;129
8;distance;kd_tree;euclidean;0.5884353741496599;0.6807387862796834;44;45;76;129
8;distance;kd_tree;manhattan;0.5782312925170068;0.6820512820512821;37;41;83;133
8;distance;kd_tree;chebyshev;0.6020408163265306;0.689655172413793;47;44;73;130
8;distance;kd_tree;minkowski;0.5884353741496599;0.6807387862796834;44;45;76;129
8;distance;brute;euclidean;0.5884353741496599;0.6807387862796834;44;45;76;129
8;distance;brute;manhattan;0.5782312925170068;0.6820512820512821;37;41;83;133
8;distance;brute;chebyshev;0.6020408163265306;0.689655172413793;47;44;73;130
8;distance;brute;minkowski;0.5884353741496599;0.6807387862796834;44;45;76;129
9;uniform;auto;euclidean;0.5986394557823129;0.6974358974358975;40;38;80;136
9;uniform;auto;manhattan;0.564625850340136;0.6751269035532995;33;41;87;133
9;uniform;auto;chebyshev;0.6054421768707483;0.6979166666666666;44;40;76;134
9;uniform;auto;minkowski;0.5986394557823129;0.6974358974358975;40;38;80;136
9;uniform;ball_tree;euclidean;0.5986394557823129;0.6974358974358975;40;38;80;136
9;uniform;ball_tree;manhattan;0.564625850340136;0.6751269035532995;33;41;87;133
9;uniform;ball_tree;chebyshev;0.6054421768707483;0.6979166666666666;44;40;76;134
9;uniform;ball_tree;minkowski;0.5986394557823129;0.6974358974358975;40;38;80;136
9;uniform;kd_tree;euclidean;0.5986394557823129;0.6974358974358975;40;38;80;136
9;uniform;kd_tree;manhattan;0.564625850340136;0.6751269035532995;33;41;87;133
9;uniform;kd_tree;chebyshev;0.6054421768707483;0.6979166666666666;44;40;76;134
9;uniform;kd_tree;minkowski;0.5986394557823129;0.6974358974358975;40;38;80;136
9;uniform;brute;euclidean;0.5986394557823129;0.6974358974358975;40;38;80;136
9;uniform;brute;manhattan;0.564625850340136;0.6751269035532995;33;41;87;133
9;uniform;brute;chebyshev;0.6054421768707483;0.6979166666666666;44;40;76;134
9;uniform;brute;minkowski;0.5986394557823129;0.6974358974358975;40;38;80;136
9;distance;auto;euclidean;0.5782312925170068;0.6736842105263158;42;46;78;128
9;distance;auto;manhattan;0.5714285714285714;0.671875;39;45;81;129
9;distance;auto;chebyshev;0.5986394557823129;0.6878306878306877;46;44;74;130
9;distance;auto;minkowski;0.5782312925170068;0.6736842105263158;42;46;78;128
9;distance;ball_tree;euclidean;0.5782312925170068;0.6736842105263158;42;46;78;128
9;distance;ball_tree;manhattan;0.5714285714285714;0.671875;39;45;81;129
9;distance;ball_tree;chebyshev;0.5986394557823129;0.6878306878306877;46;44;74;130
9;distance;ball_tree;minkowski;0.5782312925170068;0.6736842105263158;42;46;78;128
9;distance;kd_tree;euclidean;0.5782312925170068;0.6736842105263158;42;46;78;128
9;distance;kd_tree;manhattan;0.5714285714285714;0.671875;39;45;81;129
9;distance;kd_tree;chebyshev;0.5986394557823129;0.6878306878306877;46;44;74;130
9;distance;kd_tree;minkowski;0.5782312925170068;0.6736842105263158;42;46;78;128
9;distance;brute;euclidean;0.5782312925170068;0.6736842105263158;42;46;78;128
9;distance;brute;manhattan;0.5714285714285714;0.671875;39;45;81;129
9;distance;brute;chebyshev;0.5986394557823129;0.6878306878306877;46;44;74;130
9;distance;brute;minkowski;0.5782312925170068;0.6736842105263158;42;46;78;128
10;uniform;auto;euclidean;0.5714285714285714;0.6460674157303371;53;59;67;115
10;uniform;auto;manhattan;0.5476190476190477;0.627450980392157;49;62;71;112
10;uniform;auto;chebyshev;0.5714285714285714;0.6420454545454546;55;61;65;113
10;uniform;auto;minkowski;0.5714285714285714;0.6460674157303371;53;59;67;115
10;uniform;ball_tree;euclidean;0.5714285714285714;0.6460674157303371;53;59;67;115
10;uniform;ball_tree;manhattan;0.5476190476190477;0.627450980392157;49;62;71;112
10;uniform;ball_tree;chebyshev;0.5714285714285714;0.6420454545454546;55;61;65;113
10;uniform;ball_tree;minkowski;0.5714285714285714;0.6460674157303371;53;59;67;115
10;uniform;kd_tree;euclidean;0.5714285714285714;0.6460674157303371;53;59;67;115
10;uniform;kd_tree;manhattan;0.5476190476190477;0.627450980392157;49;62;71;112
10;uniform;kd_tree;chebyshev;0.5714285714285714;0.6420454545454546;55;61;65;113
10;uniform;kd_tree;minkowski;0.5714285714285714;0.6460674157303371;53;59;67;115
10;uniform;brute;euclidean;0.5714285714285714;0.6460674157303371;53;59;67;115
10;uniform;brute;manhattan;0.5476190476190477;0.627450980392157;49;62;71;112
10;uniform;brute;chebyshev;0.5714285714285714;0.6420454545454546;55;61;65;113
10;uniform;brute;minkowski;0.5714285714285714;0.6460674157303371;53;59;67;115
10;distance;auto;euclidean;0.5884353741496599;0.6873385012919897;40;41;80;133
10;distance;auto;manhattan;0.564625850340136;0.6683937823834197;37;45;83;129
10;distance;auto;chebyshev;0.608843537414966;0.6965699208443272;47;42;73;132
10;distance;auto;minkowski;0.5884353741496599;0.6873385012919897;40;41;80;133
10;distance;ball_tree;euclidean;0.5884353741496599;0.6873385012919897;40;41;80;133
10;distance;ball_tree;manhattan;0.564625850340136;0.6683937823834197;37;45;83;129
10;distance;ball_tree;chebyshev;0.608843537414966;0.6965699208443272;47;42;73;132
10;distance;ball_tree;minkowski;0.5884353741496599;0.6873385012919897;40;41;80;133
10;distance;kd_tree;euclidean;0.5884353741496599;0.6873385012919897;40;41;80;133
10;distance;kd_tree;manhattan;0.564625850340136;0.6683937823834197;37;45;83;129
10;distance;kd_tree;chebyshev;0.608843537414966;0.6965699208443272;47;42;73;132
10;distance;kd_tree;minkowski;0.5884353741496599;0.6873385012919897;40;41;80;133
10;distance;brute;euclidean;0.5884353741496599;0.6873385012919897;40;41;80;133
10;distance;brute;manhattan;0.564625850340136;0.6683937823834197;37;45;83;129
10;distance;brute;chebyshev;0.608843537414966;0.6965699208443272;47;42;73;132
10;distance;brute;minkowski;0.5884353741496599;0.6873385012919897;40;41;80;133
11;uniform;auto;euclidean;0.6054421768707483;0.7085427135678393;37;33;83;141
11;uniform;auto;manhattan;0.5918367346938775;0.6984924623115578;35;35;85;139
11;uniform;auto;chebyshev;0.608843537414966;0.7043701799485861;42;37;78;137
11;uniform;auto;minkowski;0.6054421768707483;0.7085427135678393;37;33;83;141
11;uniform;ball_tree;euclidean;0.6054421768707483;0.7085427135678393;37;33;83;141
11;uniform;ball_tree;manhattan;0.5918367346938775;0.6984924623115578;35;35;85;139
11;uniform;ball_tree;chebyshev;0.608843537414966;0.7043701799485861;42;37;78;137
11;uniform;ball_tree;minkowski;0.6054421768707483;0.7085427135678393;37;33;83;141
11;uniform;kd_tree;euclidean;0.6054421768707483;0.7085427135678393;37;33;83;141
11;uniform;kd_tree;manhattan;0.5918367346938775;0.6984924623115578;35;35;85;139
11;uniform;kd_tree;chebyshev;0.608843537414966;0.7043701799485861;42;37;78;137
11;uniform;kd_tree;minkowski;0.6054421768707483;0.7085427135678393;37;33;83;141
11;uniform;brute;euclidean;0.6054421768707483;0.7085427135678393;37;33;83;141
11;uniform;brute;manhattan;0.5918367346938775;0.6984924623115578;35;35;85;139
11;uniform;brute;chebyshev;0.608843537414966;0.7043701799485861;42;37;78;137
11;uniform;brute;minkowski;0.6054421768707483;0.7085427135678393;37;33;83;141
11;distance;auto;euclidean;0.5884353741496599;0.6857142857142857;41;42;79;132
