high|T-3|,low|T-3|,close|T-3|,high|T-2|,low|T-2|,close|T-2|,high|T-1|,low|T-1|,close|T-1|,high,low,close
109277.58630000001,98458.0233,108195.63,109737.6211,98872.5101,108651.11,109806.2102,98934.30820000001,108719.02,109436.2068,98600.9388,108352.68
109737.6211,98872.5101,108651.11,109806.2102,98934.30820000001,108719.02,109436.2068,98600.9388,108352.68,110676.3757,99718.3187,109580.57
109806.2102,98934.30820000001,108719.02,109436.2068,98600.9388,108352.68,110676.3757,99718.3187,109580.57,108705.2698,97942.3718,107628.98
109436.2068,98600.9388,108352.68,110676.3757,99718.3187,109580.57,108705.2698,97942.3718,107628.98,109451.1144,98614.3704,108367.44
110676.3757,99718.3187,109580.57,108705.2698,97942.3718,107628.98,109451.1144,98614.3704,108367.44,107818.6211,97143.5101,106751.11
108705.2698,97942.3718,107628.98,109451.1144,98614.3704,108367.44,107818.6211,97143.5101,106751.11,107120.5495,96514.5545,106059.95
109451.1144,98614.3704,108367.44,107818.6211,97143.5101,106751.11,107120.5495,96514.5545,106059.95,107622.44880000001,96966.7608,106556.88
107818.6211,97143.5101,106751.11,107120.5495,96514.5545,106059.95,107622.44880000001,96966.7608,106556.88,107331.9425,96705.0175,106269.25
107120.5495,96514.5545,106059.95,107622.44880000001,96966.7608,106556.88,107331.9425,96705.0175,106269.25,106922.82179999999,96336.4038,105864.18
107622.44880000001,96966.7608,106556.88,107331.9425,96705.0175,106269.25,106922.82179999999,96336.4038,105864.18,108571.6973,97822.0243,107496.73
107331.9425,96705.0175,106269.25,106922.82179999999,96336.4038,105864.18,108571.6973,97822.0243,107496.73,109779.2028,98909.9748,108692.28
106922.82179999999,96336.4038,105864.18,108571.6973,97822.0243,107496.73,109779.2028,98909.9748,108692.28,109508.1693,98665.7763,108423.93
108571.6973,97822.0243,107496.73,109779.2028,98909.9748,108692.28,109508.1693,98665.7763,108423.93,108129.99399999999,97424.054,107059.4
109779.2028,98909.9748,108692.28,109508.1693,98665.7763,108423.93,108129.99399999999,97424.054,107059.4,108784.8275,98014.0525,107707.75
109508.1693,98665.7763,108423.93,108129.99399999999,97424.054,107059.4,108784.8275,98014.0525,107707.75,109372.9909,98543.9819,108290.09
108129.99399999999,97424.054,107059.4,108784.8275,98014.0525,107707.75,109372.9909,98543.9819,108290.09,109315.6128,98492.28480000001,108233.28
